number;delta_analit_proizv1;delta_analit_proizv2;delta_analit_proizv3;delta_analit_proizv4;delta_analit_proizv5;
1;0.4236633315597952488;0.6611321044479001744;0.1187343864440524628;0.01326623523273334808;0.065306486578967392;
0.5;0.3096770479303738643;0.3376409856990278771;0.01398196888432700637;0.0209355036355814791;0.01765920871033793579;
0.25;0.1686696724312006694;0.1723909513307411044;0.001860639449770217467;0.002179803695082045483;0.0005932642255615693449;
0.125;0.08608009729096120517;0.08677858519656604045;0.0003492439528024176426;0.0001545545461868489475;1.136663935652769452e-05;
0.0625;0.04328276727594845396;0.04344243641470255535;7.983456937705069728e-05;9.968558431404969233e-06;1.8691946586667273e-07;
0.03125;0.02168037980875550576;0.02171935516147773752;1.94876763611158757e-05;6.279546441957314928e-07;2.958122841080143561e-09;
0.015625;0.01084741448462533866;0.01085709933619892573;4.842425786793537468e-06;3.932440464726001325e-08;4.636825000564961941e-11;
0.0078125;0.005425210162329426565;0.005427627686747414117;1.208762208993775789e-06;2.458983606144771183e-09;7.2509088577116243e-13;
0.00390625;0.002712943697954702492;0.002713547848501100292;3.02075273198899874e-07;1.537053993740274127e-10;1.137523235328341542e-14;
0.001953125;0.001356551913942224095;0.001356702937168622648;7.551161319927640614e-08;9.606800598083164999e-12;7.958043946043602546e-17;
0.0009765625;0.0006782954026946915946;0.000678333157600367366;1.887745283788572204e-08;6.006159111726638855e-13;2.184125276472048682e-16;
0.00048828125;0.0003391524916598184433;0.00033916193033013773;4.719335159643345268e-09;3.739977078032197255e-14;1.701655309715999209e-16;
0.000244140625;0.0001695774345311503936;0.0001695797941943114409;1.179831580523649226e-09;2.945831512751739822e-15;6.80987384538145335e-16;
0.0001220703125;8.478901333329371542e-05;8.478960324855098346e-05;2.949576286340183096e-10;3.553472620321240782e-16;1.184490873440413594e-16;
6.103515625e-05;4.239458054409919047e-05;4.239472802571118276e-05;7.374080599614751819e-11;1.865098787218189003e-15;2.161140190415355988e-15;
3.0517578125e-05;2.11973087271685387e-05;2.119734559504014154e-05;1.843393580142071997e-11;1.687560681473687652e-15;2.161248610632604539e-15;
1.52587890625e-05;1.059865897555436337e-05;1.059866819620811779e-05;4.610326877207970853e-12;2.457235803721147249e-15;2.930923732880064136e-15;
7.62939453125e-06;5.299330653615007269e-06;5.299332925160805952e-06;1.135772899341080944e-12;2.241175994788235926e-14;2.572762966210340174e-14;
3.814697265625e-06;2.649665604466909519e-06;2.649666199131851807e-06;2.973324711441627244e-13;1.785231034182044318e-14;2.353667391194469438e-14;
1.9073486328125e-06;1.324832866730039915e-06;1.324833063491050178e-06;9.838050513133467234e-14;3.20631650570224469e-14;3.206321926713107118e-14;
9.5367431640625e-07;6.624166115484428352e-07;6.624163535621022114e-07;1.289931703118973871e-13;2.047843773896051989e-13;2.388904503901334575e-13;
