number;delta_analit_proizv1;delta_analit_proizv2;delta_analit_proizv3;delta_analit_proizv4;delta_analit_proizv5;
1;0.4382431840772464723;0.9689124217106447841;0.7035778028939456282;0.5475285621687560713;0.45385496711083385;
0.5;0.21922162939610237;0.4741045032015989249;0.1274414369027482775;0.06460401842765083953;0.08081750154065299034;
0.25;0.1746824354153441908;0.2291338560620738601;0.02722571032336483466;0.006179531869762979618;0.00123547234126181448;
0.125;0.09798717619229331549;0.1109765264509709229;0.006494675129338803711;0.0004156699353365399035;1.728639847082185993e-05;
0.0625;0.05107577994072739792;0.05428349346386289893;0.001603856761567750506;2.64160276892673007e-05;2.603201652737695791e-07;
0.03125;0.02599485872013634257;0.02679430051278559785;0.0003997208963246276395;1.657725423079910599e-06;4.027507357565879298e-09;
0.015625;0.01310428004676883956;0.01330398492617721997;9.985243970419020515e-05;1.037125026222729569e-07;6.277183970098548782e-11;
0.0078125;0.006577963252916427912;0.006627879747270667315;2.495824717711970153e-05;6.483665237133010711e-09;9.801902670601714274e-13;
0.00390625;0.003295328396862145343;0.00330780691256880383;6.239257853329243427e-06;4.052546009815534422e-10;1.531440989646637441e-14;
0.001953125;0.001649237394898373616;0.001652356985831821728;1.559795466724055776e-06;2.532881093449471099e-11;2.387955284899323516e-16;
0.0009765625;0.0008250103178767030318;0.0008257902132354729189;3.89947679384943565e-07;1.583061427171822411e-12;8.727827488508310694e-18;
0.00048828125;0.0004126028547290265199;0.0004127978284203200391;9.748684564675957551e-08;9.893263508767291547e-14;1.046255096448511779e-17;
0.000244140625;0.0002063258251801584572;0.0002063745685936764821;2.437170675901245351e-08;6.203642200636183546e-15;2.331034670843834533e-17;
0.0001220703125;0.0001031690087795515362;0.0001031811946323131827;6.092926380823256854e-09;4.118341952186188593e-16;2.520770051028797809e-17;
6.103515625e-05;5.158602802929828724e-05;5.158907449248146182e-05;1.523231591587289463e-09;4.824699667560494731e-18;2.846030702774449139e-17;
3.0517578125e-05;2.579339487357928474e-05;2.579415648956213036e-05;3.808079914228122698e-10;1.246290397272087347e-16;1.394826094902601454e-16;
1.52587890625e-05;1.289679264521653235e-05;1.289698304967685149e-05;9.520223015957104962e-11;3.09810770787732892e-16;3.393552799879628878e-16;
7.62939453125e-06;6.448420124820881342e-06;6.448467726178524258e-06;2.380067882145828206e-11;1.617087540262129863e-16;1.321100347173587153e-16;
3.814697265625e-06;3.224216012236819865e-06;3.224227914151061355e-06;5.95095712074486527e-12;1.049887173726338219e-15;1.168336261070379578e-15;
1.9073486328125e-06;1.612109496400943812e-06;1.612112473898424155e-06;1.488748740171436102e-12;1.345874366814880929e-15;1.345928576923505204e-15;
9.5367431640625e-07;8.060551229309106426e-07;8.060558693242006988e-07;3.731966450280788106e-13;1.34598278703212948e-15;1.345928576923505204e-15;
