number;delta_analit_proizv1;delta_analit_proizv2;delta_analit_proizv3;delta_analit_proizv4;delta_analit_proizv5;
1;0.05995057164075881745;0.4048021178280509547;0.2323763447344048861;0.1512520171142286698;0.1054769075623259226;
0.5;0.03698449282149324848;0.1793222192633562106;0.07116886322093148108;0.01743303604977367941;0.006072150997679441375;
0.25;0.03807314807249989635;0.07563661352931089443;0.01878173272840549904;0.001319355897563505021;0.0001486455449925380614;
0.125;0.02401134483173522914;0.03353231076561907922;0.004760482966941925037;8.673304645406701777e-05;2.615156881518600727e-06;
0.0625;0.01323459178435825654;0.01562306923139556504;0.00119423872351865425;5.490642377563987025e-06;4.210610505351935692e-08;
0.03125;0.00692095747905979963;0.007518593243649785904;0.0002988178822949931371;3.442685537728023583e-07;6.628731805808068395e-10;
0.015625;0.003535836930549452969;0.003685278172807967048;7.472062112925703962e-05;2.15340740116376668e-08;1.037689289422154271e-11;
0.0078125;0.001786681340347105404;0.001824043670136677234;1.868116489478591517e-05;1.346149962225089147e-09;1.622141006588084799e-13;
0.00390625;0.0008980213643286726857;0.0009073620729839654872;4.670354327646400721e-06;8.413859989590474764e-11;2.537873340299756642e-15;
0.001953125;0.0004501795750522463138;0.0004525147601041657505;1.167592525959718335e-06;5.258730842276626571e-12;4.198572912950115921e-17;
0.0009765625;0.0002253818489421865437;0.0002259656456981885028;2.918983780009795463e-07;3.28681363809951721e-13;1.097754699641573239e-17;
0.00048828125;0.0001127639194915774326;0.0001129098687113517271;7.29746098871472508e-08;2.051586981896558193e-14;3.065581642702763787e-17;
0.000244140625;5.640020595245703568e-05;5.643669325914208194e-05;1.824365334252312995e-08;1.161017896406102423e-15;1.342784390623297242e-16;
0.0001220703125;2.820466420863193243e-05;2.821378603543484324e-05;4.560913401455406885e-09;8.776616586270158393e-17;2.856872724499304184e-17;
6.103515625e-05;1.410347237265180105e-05;1.410575282931764455e-05;1.140228332921749271e-09;2.325613659981407011e-17;2.325613659981407011e-17;
3.0517578125e-05;7.052021248311554375e-06;7.052591361999041835e-06;2.850568437437299429e-10;3.19351749905605331e-16;3.489233641601474645e-16;
1.52587890625e-05;3.5260818873849545e-06;3.526224417770343605e-06;7.126519269455219852e-11;1.309011492950373778e-15;1.486630913857811542e-15;
7.62939453125e-06;1.763058759008892269e-06;1.763094391792399945e-06;1.781639175383806228e-11;1.247916700530815604e-16;1.120522945263768833e-16;
3.814697265625e-06;8.815338259592878263e-07;8.815427423359309227e-07;4.45818832154817879e-12;5.453862188253832954e-15;6.164394081992208285e-15;
1.9073486328125e-06;4.407680092254864963e-07;4.407702465004134477e-07;1.118637463475707916e-12;5.453807978145208679e-15;4.98014715404060393e-15;
9.5367431640625e-07;2.203842837344397072e-07;2.203848157068008344e-07;2.65986180563587693e-13;1.823091374045238133e-14;2.202047138383234071e-14;
